FEN,Moves
1k4q1/pp1PK3/8/8/P7/1q6/8/8 b - - 3 44,b3e6
8/8/K1b5/1Pq5/8/5k2/8/4q3 b - - 1 58,e1a1
8/pp1k4/8/7K/8/6q1/8/5q2 b - - 2 55,f1h3 f1h1
8/8/2Q5/k7/8/1Q6/7P/5K2 w - - 7 55,c6a8 c6b6 c6b5 c6a4 b3b6 b3b5 b3a4 b3c3 b3a3
8/2K4k/8/8/8/8/5QQ1/8 w - - 9 68,f2h4
4Q3/6pk/6p1/7p/1P2Q3/8/q4PP1/1R4K1 w - - 7 46,e4g6
8/8/6K1/4Q3/8/5k2/3Q4/8 w - - 5 69,e5f4 d2e2
8/N7/5Q2/2k5/4Q3/4K3/4N3/8 w - - 3 56,f6c6 f6d4 e4d4
8/8/8/8/4K3/2q5/8/5qk1 b - - 3 63,f1f3
8/1p2k3/p2p2B1/4P3/3q4/P7/K6P/2q5 b - - 3 38,d4d5 d4c4 d4b2 c1b2
8/p7/1q6/8/8/2rq1q2/2k5/K7 b - - 3 66,b6a6 b6a5 b6b2 b6b1 d3a6 c3a3
8/3bk3/8/4K3/8/8/8/2qq4 b - - 1 51,c1e3
4k3/6Q1/7Q/8/p7/1P6/1K6/8 w - - 6 55,h6h8
7k/p6p/7q/2p2p2/P6P/5KP1/3q4/8 b - - 0 42,h6c6 h6e3
8/5Np1/4Q2p/3pPp2/5k2/1Q6/5PPP/2R3K1 w - - 3 36,b3f3
3q2Q1/1p2k3/1Pp4p/8/3P4/1QP2P2/3K4/8 w - - 1 39,b3e6
8/2p5/7K/8/2b1k3/8/8/5qq1 b - - 1 62,f1h3
2k5/2p5/4K3/8/8/2q1n3/8/q7 b - - 1 45,c3f6
8/8/3q4/1K6/8/2q5/6k1/1b6 b - - 0 66,d6c6 c3b4
8/8/8/1Q6/3k2K1/5Q2/8/8 w - - 7 78,b5d5 f3d3
2Q5/8/8/8/3r4/3k3P/3p2PK/2rQ4 w - - 3 58,d1f3
8/8/8/8/8/3Q2pp/3KQ3/7k w - - 2 59,d3b1
6k1/p7/8/1P6/8/6q1/5q2/3K4 b - - 4 55,g3g1
2k5/8/8/2q5/K7/8/8/1q6 b - - 3 49,c5a7 c5b4 b1b5 b1b4 b1c2 b1a2 b1d1
6q1/8/8/8/5k2/7K/p7/6q1 b - - 5 62,g8h8 g8h7 g8g4 g8g3 g1g3 g1h1
1Q6/2Q4p/4pkp1/5p2/8/6PP/P6K/8 w - - 3 51,b8d8
8/4Q3/6K1/5B2/5p2/pk3P2/7Q/8 w - - 2 48,h2c2
7k/4Q2p/6p1/pB3p2/P7/4Q2P/2P2PPK/8 w - - 11 54,e7f8
8/6kp/5p2/2p5/8/q7/1q6/3K4 b - - 7 51,a3a1
4k3/5p1p/7p/3p1P2/7K/6P1/4q3/2q5 b - - 3 42,c1h1
6k1/6b1/8/8/8/1q6/q7/4K3 b - - 3 53,b3b1
1q6/2q5/8/8/2p5/2K5/k7/8 b - - 9 77,b8b2
1k6/4Q3/1p6/pQ2K3/P1p3P1/1P5P/8/8 w - - 2 54,b5e8
4r1k1/5bpp/1p6/2pP1pKP/p1P2P2/3q2P1/P7/4q3 b - - 0 39,e1e7 e1g3
6K1/8/5qP1/8/7q/k7/8/8 b - - 3 58,h4h8
8/8/1q6/5K2/8/5k2/8/4q3 b - - 5 62,e1a5
8/8/4p3/3pP3/8/2kq4/5K2/q7 b - - 1 51,a1f1
8/7k/8/4K1Q1/1P3P1P/8/4Q3/8 w - - 5 57,e2h5
8/7Q/8/6k1/pp6/8/Q6P/2R2R1K w - - 3 38,a2g8 a2g2
r1b3k1/ppp2ppp/8/8/3qr3/8/6K1/3q4 b - - 5 41,d4g1
3Q4/1p2Q3/2k2K2/8/1pP2P2/P4P2/8/8 w - - 0 64,d8c7 d8d6 e7c7 e7d6
8/3Q4/8/8/2k5/8/1Q3Q2/7K w - - 8 67,d7b5 d7d4 f2d4 f2c2
2r1q2k/7p/8/8/7P/3K4/8/4q3 b - - 3 52,e8d8 e8d7 e8e4 e8e3 e1e3 e1c3 e1d1
8/8/5k1p/6p1/5pPP/7K/4q3/2bq4 b - - 3 61,d1d3 d1b3 d1h1 d1f1
6k1/1p5p/2p2p1P/8/8/q7/2q5/5K2 b - - 4 37,a3c1 a3a1
3QQ3/6pk/3R3p/pp2qp2/8/2P3P1/PP3PP1/6K1 w - - 2 38,e8h8 e8g8 e8g6
6k1/5p2/p2p4/P1p4K/3q4/8/8/4q3 b - - 3 47,d4h4 e1h4
2Q5/3Q2N1/8/8/1k6/8/PPP2PP1/6K1 w - - 11 41,c8c3
4K3/8/8/8/8/7Q/6Q1/4k3 w - - 15 60,h3h1
8/2K5/6Q1/4Q3/8/5Q2/6P1/2k5 w - - 5 79,e5c3
2k5/8/1Q1Q4/8/1p6/8/8/3B2K1 w - - 0 65,d6d8 d6c7 d6e6 d6c6 b6b8 b6c7 b6c6 b6a6 d1g4
7Q/8/8/3k4/8/2Q1K3/8/8 w - - 1 52,h8e5
8/8/3q4/8/1k2K3/3r4/8/5q2 b - - 3 69,d6e7 d6e6 d6d5 d6f4 d6d4 f1f4 f1f3
8/7p/2Q5/Q7/5pp1/6Pk/4BP2/6K1 w - - 0 48,c6h6 c6g2 c6h1 a5h5 e2f1
1Q3Q2/8/8/8/6QP/8/2kP2P1/R1B1K1NR w KQ - 1 40,f8f5 b8b1 g4g6 g4f5 g4e4 g4c4
2r5/8/2n5/6p1/p6P/5RP1/k4PK1/1qq5 b - - 0 53,c1h1
2Q5/8/8/3k4/5Q2/1P3P2/3B4/6K1 w - - 3 51,c8c4
4r3/p3k3/1p5Q/3Q1p2/5P2/8/PPPK4/8 w - - 5 45,h6g7 h6d6
4k3/6Q1/5Q2/7N/8/8/6P1/5K2 w - - 11 62,g7f7 g7e7 f6f8 f6e7
8/8/K7/2Q5/3Bp2k/4Q3/8/8 w - - 7 100,c5g5
8/2k5/1pqp4/p7/8/4K3/8/3q4 b - - 7 57,c6f3
8/8/3p4/8/2k5/qq4PK/8/8 b - - 9 62,b3g3
1Q6/8/8/8/4KB2/k7/8/5Q2 w - - 1 66,f1a6 f1a1
6k1/8/7K/8/8/8/5q2/b5q1 b - - 1 57,f2h4 f2h2
r5k1/p7/8/6qp/5q2/7K/7P/8 b - - 7 39,g5g4 f4f5 f4h4 f4g4 f4f3 f4e3 f4f1
7Q/8/k1p5/1p1p4/3Qp2q/p3P3/6P1/6K1 w - - 0 51,h8a8
7k/Q7/4Q3/2N5/8/8/1PP5/7K w - - 3 45,e6e8 e6c8
2k5/6Q1/6Q1/8/p7/8/pK6/8 w - - 2 44,g6e8
8/p2k4/3q4/2p2q2/7K/3P4/5P1P/8 b - - 1 46,d6f4 d6h2
8/5k1p/4r3/p3q3/P3q1PK/7P/8/8 b - - 0 49,e6h6 e4e1
5k2/6pp/8/2q5/pp6/8/K7/5q2 b - - 1 56,c5f2 c5c2
4Q3/5Q2/8/8/PN4kP/4P1P1/5P1K/8 w - - 5 53,e8g8 e8c8 e8d7 e8e6 e8e4 f7h5 f7f4 f2f3
rn2kbnr/p1p2ppp/2p5/1P5K/7P/8/P7/q5qb b kq - 0 19,g8f6 h1f3 g1g6 a1e5 a1d1 g7g6
1Q5Q/8/8/8/8/k5p1/6P1/5K2 w - - 1 48,h8a1
8/4QP2/8/2B2Q2/1K6/2P3k1/4Q3/8 w - - 13 82,e7g5 f5g4 f5f3 c5d6 e2f2
QQ6/2P5/8/8/3Q4/8/K1k5/8 w - - 1 72,b8b2 b8b1 a8c6 c7c8q c7c8r
8/3k2q1/8/8/8/8/7K/5q2 b - - 5 47,g7e5 g7g2 g7g1 f1g2
8/1Q4Q1/8/3p1P2/p1kPp3/4P1R1/1KP5/3R4 w - - 1 45,g7c7
QQ6/7k/8/6P1/8/6K1/8/8 w - - 1 77,b8g8
8/8/4K3/1Q6/2Q5/6P1/8/k7 w - - 9 75,c4a4
6Qr/p3k3/1p1p4/2pQ3p/PP6/7B/7P/5R1K w - - 1 34,d5f7 d5b7 d5e6 d5g5 d5e4 f1f7
Q7/8/4Q1p1/2P2pNk/5P2/P5KP/2P5/4R3 w - - 1 37,a8h8
8/8/4Q1p1/3R4/4Pk2/P6Q/6P1/6K1 w - - 2 44,e6e5 e6g4 h3f3
6k1/2K4p/4b3/8/q3r3/8/1q6/8 b - - 7 59,a4d7
3Q4/8/8/pQ6/8/P2pk1KP/8/8 w - - 2 48,d8d3 b5d3
8/6pk/7p/5n2/7P/8/1q3qPK/8 b - - 1 61,f2g2
5rk1/2R4R/6p1/8/8/1P6/1KNq4/5q2 w - - 1 46,c7g7
6R1/3k4/5p2/4qq2/2r2P2/6KP/6P1/8 b - - 2 50,f5f4 e5f4
8/7p/6P1/6P1/5P2/2k3K1/8/5q1q b - - 0 49,h1h3 f1f3 f1g2 f1g1
8/1q6/qP6/2K1k3/8/8/8/8 b - - 4 61,b7b6
Q3R3/5pkp/Q7/1p5P/1q6/3K4/P1PP4/R1Bn4 b - - 3 32,b4c4
4q3/7K/8/5k2/8/8/8/6q1 b - - 3 62,e8h5 g1g6
6k1/6p1/8/K7/8/1q2q3/8/8 b - - 10 55,e3a7 e3b6
8/3k4/8/4K3/7q/1n6/8/3q4 b - - 1 50,d1h5
5r2/1K6/7k/8/8/2q5/8/3q1qq1 b - - 7 61,c3c8 f1b5 d1d7 d1d5 d1f3 d1b3 d1b1
8/8/1k6/4n3/1q6/8/K7/5q2 b - - 1 70,f1a6 f1b1
b7/q7/6K1/8/6k1/5q2/8/8 b - - 3 76,f3c6
5k2/7Q/1Q4B1/8/8/8/PPPK4/R7 w - - 11 48,h7f7 b6d8 b6b8 b6f6 b6d6 b6c5 b6b4 b6f2 a1f1
1q6/5pkp/1p4p1/5P1P/7K/8/8/6q1 b - - 2 47,b8g3 b8h2 g1g3
3k4/7Q/6Q1/8/2P3p1/8/5PKP/8 w - - 3 51,g6g8
1Q6/8/k7/8/8/8/5K2/2Q5 w - - 5 58,c1a3 c1a1
7Q/1q1kpb2/5pqP/8/8/6P1/5B1K/q7 b - - 0 57,b7h1 g6h5 a1h1
6Q1/8/8/8/kP6/2Q5/8/6K1 w - - 1 51,g8e8
2Q5/3Q4/8/k7/P7/8/8/1K6 w - - 5 56,d7b5
8/4k3/8/8/K7/8/1q6/2q5 b - - 11 70,c1a1
8/8/7K/2k2q2/4q3/8/8/8 b - - 8 67,f5g6
r1b2rk1/2R5/p5Kp/1p2p1p1/4N3/7q/PRQ2P2/6q1 b - - 1 33,c8f5
8/7p/6pk/K7/8/1q6/8/2q5 b - - 5 55,c1a3 c1a1
4Q3/6p1/7k/5Q1p/8/6P1/1r5P/4R1K1 w - - 2 47,e8h8 e8g6 e8h5 f5g6 f5h5
6NN/8/P7/3N4/8/4R3/5Q2/k6K w - - 1 52,e3e1
8/8/3K4/8/5k2/1b6/8/q1q1q3 b - - 1 67,e1e6 a1d4
8/8/8/2Q5/2p5/1kP5/1P4Q1/6K1 w - - 5 55,c5a3
3r2k1/7p/4K3/8/7q/8/1p6/5q2 b - - 1 50,h4f6 h4e4 h4e1 f1f6
4K3/1q3Bq1/3k2P1/8/8/8/8/8 b - - 7 72,b7c8 b7b8 b7a8 b7e7 b7d7
QQ6/1Q6/5k2/7Q/8/7P/6P1/2KR4 w - - 1 51,b8d6 b8e5 a8a6 b7f7 d1d6
8/8/4pk2/7K/q6p/8/8/1q6 b - - 1 55,b1h7 b1g6
8/6Q1/3k4/5QK1/6P1/8/8/8 w - - 5 65,g7d7
8/8/8/6q1/4q3/2k5/8/5K2 b - - 11 63,g5g2
r7/pp6/4b3/8/4k2K/4n3/3qq2n/8 b - - 27 83,e2g4
4k3/Q7/7Q/6P1/1K6/8/2P5/4N3 w - - 9 66,h6h8
4r3/p5k1/n1p5/8/8/q4p2/7q/1K6 b - - 17 48,e8b8 e8e1 a3b2 h2h7 h2b2 h2a2
8/6p1/8/5k2/4p3/4q3/6K1/3q4 b - - 1 68,d1g1
2Q5/5Q2/8/8/7k/8/6PK/B7 w - - 1 56,a1f6
6Q1/8/8/8/7Q/P2k4/5R2/6K1 w - - 3 50,g8g3 g8b3
1QQ5/5pk1/4p1pp/p7/8/6PP/4qP1K/8 w - - 1 39,c8h8
8/5pp1/4b1k1/4K3/8/8/6q1/5q2 b - - 3 79,g2d5
q2r4/1q5q/5b2/4p1p1/6k1/4K2p/8/8 b - - 3 58,b7f3
7q/3K4/5q2/8/8/3k4/8/8 b - - 3 63,h8d8
2QQ4/k6K/8/1p6/8/8/8/8 w - - 1 72,d8c7 d8a5 d8d4 c8a8
6Q1/pp5Q/5p2/4p3/5k2/6r1/Pq3P1P/R4RK1 w - - 0 26,g8g3
1Q6/8/8/8/3k1P2/5Q1P/5KP1/8 w - - 1 71,b8b4
8/6pk/8/8/8/K7/2q5/1q6 b - - 15 72,c2b3 c2a2 b1b3 b1b2
6k1/8/8/6Kp/4r1n1/6Pq/8/q7 b - - 1 43,a1f6
8/6pk/7p/7P/P5K1/6P1/8/2q4q b - - 2 59,c1g5
8/8/7k/8/6p1/5q2/2q5/6K1 b - - 3 48,f3g2 f3d1 c2g2 c2f2
6k1/4pp1p/3p2p1/3P4/8/pB2q3/5bPP/2q1NK2 b - - 1 37,e3e1 c1e1
r1b1k3/1p4p1/6P1/1r1Pq3/7K/1q6/5P2/8 b q - 1 30,b3h3
8/6K1/8/kpp5/2P5/1Q6/1Q6/8 w - - 1 83,b3b5
8/5q2/8/4q3/8/K1p5/2k5/8 b - - 1 69,f7b3 e5a5
6nr/3k2p1/8/8/2K5/b3q1q1/8/3n3q b - - 1 46,e3c5 e3d3 h1c6
8/2p5/1p3K1k/7p/8/4q3/3q4/8 b - - 3 60,d2f2
6k1/7p/6p1/p3b2q/8/4K3/8/3q4 b - - 1 50,h5f3 h5e2 d1d4 d1e2
8/8/p3q3/P5Kp/8/5q1k/8/8 b - - 9 63,e6f6 f3f5 f3g4
8/8/8/1K2k3/1bP5/8/2b5/1q3q1q b - - 7 67,h1b7
6Q1/8/1K6/8/7p/7k/8/2Q5 w - - 2 67,c1h1
8/8/1q1k4/8/2P5/8/4K3/6q1 b - - 1 57,b6e3
6k1/1p4p1/7p/1P3p2/5Pq1/6P1/3q3P/6K1 b - - 9 54,g4d1
8/8/8/8/2K1n3/4k3/8/q2q4 b - - 0 58,a1a4
2k5/ppp2p1p/2n3p1/P7/5K2/2P5/4q3/3q4 b - - 2 32,e2e5
8/8/8/5Q2/1k3B2/5N2/P1Q2PPP/5RK1 w - - 1 32,f5c5 f4d6 c2b3
8/8/6p1/4qp2/6kP/8/6K1/4q3 b - - 1 59,e5g3 e5e2 e5b2
7k/6p1/2p4p/8/8/4q3/q7/7K b - - 5 58,e3e1 e3c1
5Q2/7p/p3N1pB/3k4/1p6/4Q2P/Pq4PK/8 w - - 1 40,f8c5
r1b5/p2p1Q1p/1p6/4Q3/1kp2B2/8/PPP2PPP/RN2KB1R w KQ - 5 21,f7c4
8/8/K7/8/8/2q5/1q5k/8 b - - 15 72,c3a3
8/8/3B3K/8/3k4/1Q6/6Q1/8 w - - 5 64,g2d5 g2g4
8/4b1k1/6p1/7p/3PqP1P/4P1PK/8/1q6 b - - 2 40,e4h1 b1h1
8/8/8/8/8/5K2/3q3k/4q3 b - - 5 76,e1e2
4Q3/1R1Q4/8/8/8/8/2k3KP/8 w - - 5 62,e8c8
8/6k1/3Q4/5Q1p/p5p1/2P5/PP4PP/6K1 w - - 2 37,d6f8
6k1/5p2/4p2p/3pP1p1/4q1P1/3q4/5B1P/2K5 b - - 1 38,d3c2
7k/8/p1p5/1pP4P/1P1K4/1P6/6p1/4qq2 b - - 0 46,g2g1q g2g1b
1QR2N2/8/Q7/3k4/8/8/6P1/6K1 w - - 1 49,a6c4 a6d3
8/6k1/8/8/8/6q1/3K4/5q1q b - - 1 65,g3d3 h1h2 h1g2 f1d3 f1g2 f1f2 f1d1
1k6/8/2Q5/Q7/8/P4B2/2P2PpP/6K1 w - - 1 58,c6e8 c6a8 c6c7 c6b7 a5a8 a5c7 a5b6
5R2/3pN2k/6pp/1b3Q2/4P3/5P1K/4q1PP/4q3 w - - 0 44,f5f7 f5g6
2Q5/1Q6/8/6K1/8/k5P1/8/8 w - - 5 56,c8a8
7k/7p/6pP/5b2/1p6/3q4/7K/4q3 b - - 1 50,d3h3 d3g3 d3e2 d3d2 d3c2
2Q5/1Q6/8/k7/8/5K2/5PP1/8 w - - 9 69,c8a8
8/8/8/2K5/4q3/1q3k2/8/8 b - - 5 89,e4d5 b3b4
r1q5/2q5/4k3/p6K/8/8/6q1/q7 b - - 1 63,c8h8 c7h7 c7h2 a1h8 a1h1
6k1/8/4n3/3bK3/8/8/8/5qqq b - - 1 58,g1g3 g1h2 f1f4
k4b1r/p1p2pp1/8/1Q6/2P1p1Q1/1P2B1P1/P1q4P/4RRK1 w - - 5 24,g4c8
8/8/8/K7/7k/5Q2/8/6Q1 w - - 9 67,f3g4 f3h1 g1g4 g1g3
6Q1/8/5Q2/8/8/2N4k/2PK4/8 w - - 7 55,f6h8 f6h6
8/8/8/p7/8/8/q1q2r2/4k1K1 b - - 3 78,f2f1
7Q/7p/5Qp1/p4PB1/6k1/1P6/P1P2PPP/R3KBNR w KQ - 3 26,f1e2
3Q4/8/RQ6/1p6/p1k2p1P/5P2/PP6/2K5 w - - 2 41,d8d4 b6d4
3Q4/4Q3/7k/8/6Q1/4NK2/P5Pp/7N w - - 5 52,d8h8 d8f8 d8d6 d8b6 e7g7 e7h4 g4g5 e3f5
8/8/5k2/8/3q4/q7/4Kb2/8 b - - 9 40,a3d3
6Q1/1Q6/4p3/5p1k/5r2/6Pp/4KP1P/8 w - - 2 43,b7h7
5k2/3R4/4Q3/8/1K6/5P2/8/3Q4 w - - 15 70,e6f7 d1d6
4Q3/7k/5Q2/7p/3P2p1/2P5/1P4PP/6K1 w - - 0 37,e8h8 e8f7 e8g6 f6h8 f6g6
6k1/p1Q5/3Q4/P7/8/8/6K1/8 w - - 3 64,d6d8
8/8/2q5/6K1/4q3/k7/8/8 b - - 3 79,c6g6
b3Q3/1qr4k/1p4rp/4Q3/1p6/P5P1/7P/B2RR1K1 w - - 0 41,e8h8 e5h8
4b3/8/8/1k6/8/8/3qrq1q/1K6 b - - 53 110,h2h1 h2g1 f2g1 f2f1 f2e1 e2e1 d2b2 d2e1 d2d1
8/8/2k3K1/8/3Q4/pQp5/8/8 w - - 1 52,b3b6
8/7Q/8/6K1/8/Q1B5/1P3P2/2k5 w - - 5 63,a3a1
7Q/B3k3/7P/5Q2/p7/N3P3/PP6/3K4 w - - 1 49,h8f8 a7c5
8/8/7p/p6p/P2b3K/4k3/8/5qq1 b - - 5 58,g1g5 g1g4 g1h2
6k1/1K5p/8/7p/7q/8/3r4/q1q5 b - - 3 55,h4b4 d2b2
2Q5/1Q6/8/k7/8/1KP5/8/8 w - - 3 56,c8d8 c8a8 c8c7 c8f5 c8c5 b7a6 b7b4
1K6/3q4/4q3/8/8/2k5/8/8 b - - 9 86,e6g8 e6e8
2k5/1pp2pp1/1p6/3K4/4r3/6q1/8/1q6 b - - 5 42,g3d6 g3g5 g3e5 g3d3 g3b3 b1d3 c7c6
Q5R1/4p3/4qk2/5p1B/7p/7P/PP2q3/6KR b - - 2 42,e6b6 e6e3
8/7Q/pk6/3Q4/4P3/1Pp5/P4P2/RN3K2 w - - 3 38,h7b7
6k1/5pp1/3q3p/r2N1K2/4QP1P/8/6P1/3q4 b - - 3 44,d6f6 d1h5 g7g6
8/8/3N4/3Q4/5Q2/2k5/6PP/6K1 w - - 4 39,f4d2
6k1/1p2KpPp/2q5/5qP1/8/8/8/8 b - - 5 49,c6d7 f5d7 f5g5
8/8/2N1NNN1/3R4/2k5/4R3/8/6K1 w - - 16 68,g6e5 d5c5
8/3K4/6B1/8/8/7Q/7Q/2k5 w - - 11 92,h3f1 h2c2
3k1N2/8/3K4/1q3p2/q7/8/P7/8 b - - 6 57,a4a6
Q4BKQ/8/8/Q6Q/8/7R/8/1k6 w - - 61 99,h5d1
2Q3Q1/5P2/1Q6/8/8/k7/2P5/6K1 w - - 1 67,c8a8 c8a6 b6b3
1Q6/p1B5/k3p3/2p2p2/4q3/1P1p2PP/PK1Q4/8 w - - 3 50,d2a5
8/8/8/8/8/5Q2/2k5/4QK2 w - - 15 63,f3c3
8/1p4kp/5pp1/8/2P3PK/5q2/7P/3q4 b - - 1 42,f3g4 d1e1
8/8/8/8/7K/1r1r4/r3k1r1/5r2 b - - 91 117,d3h3 f1h1
5rk1/8/8/5p2/6pp/q7/1q6/7K b - - 1 45,a3a1
4Q3/8/3K3R/3N4/3P4/2Q5/8/3k4 w - - 3 58,e8h5 e8e1 h6h1
8/8/8/4Q3/8/8/P1Q5/3K2k1 w - - 7 55,e5e1
8/7p/3k2p1/q4p1P/1q6/8/1pK5/8 b - - 4 65,b2b1q
4q3/8/8/k2Kb3/8/8/5q2/8 b - - 13 59,f2d4
2k5/8/4K1p1/2q5/1q3P2/8/6P1/n7 b - - 7 51,c5f5
8/2k5/5Q2/3Q4/5p2/5P2/5P2/5K2 w - - 3 57,f6d8
4Q3/N7/3Q4/8/8/3p1k2/P2P2pP/RNB1K1R1 w Q - 7 37,d6g3
8/pp5q/3K4/8/P2k4/8/8/5q2 b - - 1 50,f1f6 f1a6
5Q2/8/3Q4/1p6/4k3/8/P4PP1/2R3K1 w - - 13 53,f8f4 f8f3 c1e1
8/8/1K6/8/7P/Q7/2Q5/4k3 w - - 11 59,a3c1 a3a1
8/8/6k1/3N4/P4Q2/3K3Q/8/8 w - - 11 60,f4f6 h3h6
2Q2Q2/8/1P6/8/6Q1/4k3/K7/8 w - - 1 69,c8c3
4q3/3q4/8/K1p5/3b4/7k/8/8 b - - 11 76,d7a7 d7b5
6k1/5pp1/4p3/2q5/4q3/1K6/5r2/8 b - - 5 50,c5b4 c5e3 e4c4 e4b4 e4c2
k7/6q1/8/7K/8/8/8/6q1 b - - 5 66,g7h8 g7h7 g7g5 g1g5 g1g4 g1h2 g1h1
8/2Q5/8/5N2/1Q2P3/3k1KP1/6P1/R7 w - - 9 66,c7c4 c7c3 b4d6 b4d4 b4c3 a1a3 a1d1
8/1Q6/8/1Q6/2P5/8/k7/6K1 w - - 4 53,b7a8 b7a7 b7a6 b5a6 b5a5 b5a4 b5b2
4b1k1/7p/1p6/8/q2q2P1/8/4KP1P/8 b - - 9 46,a4d1
5r2/8/8/8/5R2/2pk1K2/8/4q1q1 b - - 9 69,g1g3 e1e4 e1g3 e1e3 e1f2 e1e2 e1f1 e1d1
8/8/8/2Q5/kP6/6K1/3Q2P1/8 w - - 3 59,d2a2
r6r/1p3k2/p3p1b1/5pP1/P4P2/1P4q1/4K1R1/7q b - - 1 33,h1e1
8/7b/4k3/8/KP3p1P/3q4/5P2/4q3 b - - 1 50,e1a1
r6r/p3k3/2pp4/8/2q1qPK1/8/n6P/8 b - - 1 39,a8g8 e4f4 c4g8
1k5K/3pq3/3q4/8/8/8/8/6r1 b - - 15 63,e7g7 e7h4 d6h6 d6f6 d6e5 d6d4 d6h2
7Q/5k2/3Q4/4P3/6K1/P5P1/7P/8 w - - 5 50,h8f8 d6f6
1k3K2/p7/8/4n1qq/8/7P/P7/8 b - - 1 44,h5h8 h5f7 e5d7
8/8/8/p2b4/2p5/2P4k/4K3/q5q1 b - - 1 63,g1e1 a1b2 a1a2 a1e1 a1d1
8/8/5p2/8/1k6/8/4K3/q5q1 b - - 1 59,a1d1
7k/P3Q3/3NN3/3N4/4N3/6K1/8/3R4 w - - 5 85,e7g7 a7a8q a7a8r
8/8/8/7K/2k5/8/6q1/5q2 b - - 11 69,f1h1
7Q/3k4/Q2Bp3/1R2P3/8/P7/6K1/8 w - - 7 55,h8c8 a6c8 a6b7 b5b7
8/8/5k1K/3Q4/2Q5/7P/8/8 w - - 5 53,d5e6 d5g5 c4h4
8/8/8/8/8/8/qq5k/5K2 b - - 13 57,b2f2 b2e2 b2c1 b2b1 b2a1 a2b1 a2a1
6k1/p3p2p/P7/8/1b4n1/1K5P/3q2P1/2q5 b - - 1 37,c1c2
2Q5/P7/3k4/8/3N4/2B2Q2/8/R3K3 w Q - 1 64,d4f5
6k1/1p3pp1/p6p/5q2/6P1/7K/7P/3q4 b - - 0 41,f5g4 d1g4
8/8/1pk5/8/8/K7/6r1/1q5q b - - 1 49,g2a2
Q4QQ1/8/8/4k3/4B3/5Q2/8/6K1 w - - 1 64,g8d5 f8f6 f8c5 a8d5 a8a1 f3f6 f3c3
1q4k1/8/2q5/8/8/K7/8/5n2 b - - 15 78,c6a8 c6a6
6k1/5pp1/4q2p/1Kp5/8/2q5/5b2/8 b - - 13 59,c3b4
1Q6/2Q5/k7/8/5N2/5K2/6P1/8 w - - 17 68,b8b7 b8b6 c7a7 c7b6
8/8/1kp5/2q5/q7/3K4/8/8 b - - 5 65,a4c2
8/8/8/4Q2Q/1k6/7P/1PPK1P2/8 w - - 1 51,h5h4 h5g4 e5b5 e5f4 e5e4 e5d4
8/8/6P1/2Q4Q/4KN2/6k1/PP6/8 w - - 5 59,h5h3 c5e3 c5g1
8/pp6/7k/3b4/8/7K/5q2/2q5 b - - 1 62,d5e6 c1c8
r6r/1p6/1P1p1k2/3Pp3/P3Pq2/4qP2/7p/2RR1K2 b - - 4 41,f4f3 h2h1q
8/6B1/p7/1p4p1/kP5p/2P5/5QPP/5QK1 w - - 4 48,f2a2
2kN3r/p5p1/1ppp1n2/4p3/6q1/2NP4/PPP2P2/R3RKQq b - - 1 21,h1g1
8/8/8/2k5/8/7K/5q2/6q1 b - - 9 81,f2g3 f2h2 g1g3 g1g2
4N3/8/8/8/2Q2Q2/k1P5/P5P1/R1R3K1 w - - 2 38,c4b4 c4b3
1NQQ4/4R3/5k1p/6p1/5p2/8/5PK1/8 w - - 3 54,d8d6 c8e6
8/2q5/8/1K4k1/8/8/8/2q5 b - - 1 60,c1c4
3r2kb/7p/8/5q2/6p1/1p4P1/6K1/q1qq4 b - - 1 51,d8d2 f5c2 d1e2 d1d2 d1c2 d1h1 d1g1 c1d2 c1c2 c1b2 a1b2 a1a2
8/8/p7/P3p2k/2pb3P/5q2/7K/5q2 b - - 3 62,d4g1 f3f4 f3h3 f3g2 f3f2 f1h3 f1g2 f1f2 f1e2 f1h1 f1g1
r3kb2/p4pp1/8/8/8/2q5/3q4/5K2 b q - 5 42,c3c1 c3a1
8/7k/8/8/5Q2/6QP/6PK/8 w - - 15 62,f4h4
1r4k1/7p/3pK2p/2b3qP/q7/8/8/8 b - - 9 42,b8e8 g5e5 a4e8 a4g4
8/5K1P/8/4q1q1/1k6/8/8/8 b - - 1 60,g5g7 e5e7
6k1/8/2Rb1pK1/7P/6p1/5q2/3q4/8 b - - 0 42,d2g5
8/8/8/8/2NKPP2/6Q1/1Q6/3k4 w - - 5 83,c4e3 g3g1 b2d2
N1b4r/pp3k1p/2n2p2/8/1b6/8/P2R1P1q/1q1QKR2 b - - 1 20,h8e8 h2e5
q7/2K5/P3k3/8/8/8/8/q7 b - - 3 54,a1a5
q7/4K3/6r1/5kn1/8/8/4b3/1qqq1qqq b - - 3 86,a8d8 g6g7 g6e6 h1h7 h1b7 h1e4 g1a7 g1c5 g1e3 d1d8 d1d6 c1c7 c1c5 c1e3 c1a3 b1b7 b1e4 b1b4
4k3/8/8/8/4n3/5K2/7b/1q4q1 b - - 1 63,b1d3
8/8/1p1nq3/1k4K1/8/8/8/3q4 b - - 3 64,d1g4
5Q2/8/p7/5Q2/1B6/2P1k3/PP6/3K4 w - - 5 51,f8e8 f8e7 f8h6 f8c5 f5f3 b4c5
5Q2/8/6Q1/8/3K3k/8/8/8 w - - 3 74,f8h8 f8h6
