FEN,Move,Win Probability,FEN ID
3rr1k1/1pq2p1p/p5p1/3nN3/P3Q2P/2PB2P1/1P3PK1/R4R2 b - - 0 24,"['e8e5', 'd5f6', 'c7e5', 'f7f5', 'g8g7', 'f7f6', 'e8e7', 'e8e6', 'c7d6', 'g8h8', 'b7b6', 'd8d6', 'b7b5', 'd5b6', 'd5c3', 'c7e7', 'c7b8', 'g8f8', 'c7c5', 'a6a5', 'h7h6', 'h7h5', 'c7a5', 'd8d7', 'd8c8', 'c7c8', 'd5e3', 'c7b6', 'd5b4', 'e8f8', 'd5e7', 'd8b8', 'd8a8', 'd5f4', 'g6g5', 'c7c6', 'c7d7', 'c7c3', 'c7c4']","[0.4623301956955016, 0.3808281678856246, 0.31181509311084854, 0.2901315068241716, 0.2788895198861058, 0.2679187308110218, 0.2502536698554691, 0.24476757181231845, 0.2434088196633245, 0.23936334447111163, 0.23802513721984941, 0.2366920834084017, 0.23536418926249292, 0.23272390323804226, 0.21920288905293317, 0.21669252059239175, 0.21669252059239175, 0.21420301444757306, 0.20989659908230773, 0.2074644899708633, 0.2062562611938536, 0.2050532483330516, 0.20206852665869057, 0.1956167070159846, 0.19102319886093233, 0.18539779231227405, 0.1799012073028387, 0.1692912623296785, 0.1672300700782952, 0.1646818444286432, 0.15918559583798003, 0.13867824357894337, 0.13867824357894337, 0.12082496069766191, 0.07954221878235157, 0.07820468799769881, 0.07305814559620055, 0.06026583458431928, 0.026664592911479768]",20OYJR
2rq3r/3bppk1/p2p2p1/1p1Bn2P/3NP1p1/5P2/PPPQ4/2KR3R w - - 1 19,"['h5g6', 'd5b3', 'f3f4', 'f3g4', 'b2b3', 'd1f1', 'd5b7', 'h5h6', 'd2e3', 'a2a3', 'd2f4', 'a2a4', 'c1b1', 'h1h2', 'c2c3', 'd1g1', 'd2g2', 'd1e1', 'd5f7', 'd2f2', 'd2e1', 'b2b4', 'd2e2', 'h1g1', 'h1f1', 'd2b4', 'c2c4', 'h1e1', 'd4e2', 'd4f5', 'd2h2', 'd5e6', 'd4b3', 'd5c6', 'h1h4', 'd5a8', 'd2g5', 'd4e6', 'd4b5', 'd4c6', 'h1h3', 'd5c4', 'd2c3', 'd2d3', 'd2h6', 'd2a5']","[0.591915609324709, 0.5358387144707508, 0.5321736834106171, 0.5266697440308632, 0.5027615319200139, 0.4733302559691369, 0.4714948226881868, 0.4232868990440539, 0.41700770288330274, 0.4018735643137257, 0.4018735643137257, 0.4018735643137257, 0.40010471851325186, 0.38867247514924735, 0.37909324354871493, 0.37132483661091226, 0.3678931833857318, 0.36532817385496535, 0.3627707844161063, 0.3585257312416039, 0.35683385498256776, 0.3534608279851336, 0.3509405771225878, 0.33517593247566096, 0.32621162296292944, 0.30631122259226473, 0.3055293955493827, 0.30086202940252793, 0.30008809407041565, 0.2803729359815208, 0.2788895198861058, 0.27227406568891394, 0.26864154452347183, 0.2523319525399643, 0.2516379230381391, 0.24138030361930346, 0.2407066986076838, 0.2262138557091269, 0.21983373956127034, 0.19736068787568456, 0.16774348040130993, 0.15673687957968802, 0.12043437276310126, 0.09537095564452558, 0.09162643894872474, 0.0851035919775297]",27X5P7
rnbqkb1r/pp2pppp/2p2n2/3p2B1/3P4/4PN2/PPP2PPP/RN1QKB1R b KQkq - 2 4,"['d8b6', 'c8f5', 'c8g4', 'f6e4', 'h7h6', 'b8d7', 'g7g6', 'd8a5', 'e7e6', 'c8e6', 'b8a6', 'a7a5', 'd8c7', 'h7h5', 'f6h5', 'c8d7', 'a7a6', 'd8d6', 'c6c5', 'b7b6', 'b7b5', 'd8d7', 'f6d7', 'f6g8', 'f6g4', 'h8g8', 'e8d7', 'e7e5', 'c8h3']","[0.4926363724400336, 0.4917160780856239, 0.48711557303526726, 0.48619570897068454, 0.4843562675785791, 0.4705773918729125, 0.467826316589383, 0.4559296988800415, 0.45501647940453177, 0.454103562397001, 0.44499235158754635, 0.4431743390334964, 0.44135784741538037, 0.4395429240174578, 0.4386360651319824, 0.4386360651319824, 0.43501278527292314, 0.4341080334601539, 0.4286889425850106, 0.4277873846879599, 0.41879910735532644, 0.4089741028083871, 0.4054188880512549, 0.4045316164166957, 0.4027589492090241, 0.3983384732724953, 0.39569407338298884, 0.35937299492456853, 0.1351970515980852]",K6KTPY
r1b1kb1r/ppBp1ppp/6q1/8/8/P4P2/2PKB2P/R2Q3R b kq - 0 19,"['f8d6', 'f8c5', 'g6c6', 'g6h6', 'f8e7', 'g6g5', 'g6f6', 'g6h5', 'd7d6', 'h7h5', 'g6f5', 'a7a6', 'g6e6', 'a7a5', 'b7b6', 'h7h6', 'd7d5', 'g6g2', 'b7b5', 'h8g8', 'e8e7', 'f7f5', 'f7f6', 'a8b8', 'f8b4', 'f8a3', 'g6d6', 'g6b6', 'g6e4', 'g6c2', 'g6g4', 'g6a6', 'g6g3', 'g6d3', 'g6g1']","[0.7795341070238575, 0.7626420342626421, 0.7462761887954177, 0.7462761887954177, 0.7277259343110861, 0.7091095639886315, 0.6672810362657015, 0.6389298484637961, 0.6139489294360486, 0.6016615267275047, 0.5945811119487451, 0.5945811119487451, 0.5874611371519987, 0.585675286773559, 0.585675286773559, 0.545896437602999, 0.5248335896523929, 0.522078114090291, 0.5, 0.45319095389262815, 0.3939345129435846, 0.3764966567002889, 0.32621162296292944, 0.26432321070506637, 0.2537238112045824, 0.24956344857367774, 0.1313691382702844, 0.12681590743681204, 0.09193336344131242, 0.08062725610318067, 0.07981222090680473, 0.07927305137721596, 0.07636671651344662, 0.0715760679645217, 0.05642352684427998]",M827LN
r4rk1/p4pbp/2B1b1p1/8/8/6P1/PPP1NP1P/3R1RK1 w - - 1 17,"['c6a8', 'e2d4', 'e2f4', 'b2b3', 'c2c3', 'c6f3', 'c6d5', 'c6g2', 'b2b4', 'c6h1', 'c6e4', 'c6a4', 'd1d6', 'e2c3', 'd1d2', 'a2a4', 'h2h4', 'c2c4', 'c6d7', 'g1g2', 'e2c1', 'c6b5', 'f1e1', 'd1d3', 'a2a3', 'h2h3', 'g1h1', 'f2f3', 'd1c1', 'd1b1', 'c6b7', 'g3g4', 'd1e1', 'd1a1', 'f2f4', 'd1d4', 'd1d5', 'd1d7', 'c6e8', 'd1d8']","[0.8343026258530621, 0.7029962348564509, 0.7029962348564509, 0.664824067524339, 0.6515713880482262, 0.5901355884591462, 0.5838871815019091, 0.5686035652810878, 0.5568256609665037, 0.5513672504375507, 0.5394998785122574, 0.53675438329054, 0.5294226081270875, 0.5239152574834706, 0.5229967635676993, 0.519321294202434, 0.5174827500461167, 0.5165632973121441, 0.5156437324214209, 0.5147240615881282, 0.5147240615881282, 0.5138042910293155, 0.5119644756166626, 0.511044443209752, 0.5082839219143761, 0.5046024700028845, 0.5, 0.5, 0.497238468079986, 0.49539752999711567, 0.49355671670047907, 0.4926363724400336, 0.4917160780856239, 0.48895555679024805, 0.47884068475933794, 0.4559296988800415, 0.3426002061577233, 0.2788895198861058, 0.16066965780092213, 0.09794280511446124]",S0INW4
r1b1kb1r/2qp1ppp/p1n1p1n1/1pp1P3/4N3/1P3N2/PBPPQPPP/R3KB1R w KQkq - 0 9,"['h2h4', 'g2g3', 'e4d6', 'a2a4', 'e1c1', 'd2d4', 'a2a3', 'e2e3', 'c2c4', 'a1c1', 'a1d1', 'e1d1', 'h2h3', 'e4g3', 'b2c3', 'h1g1', 'a1b1', 'e4g5', 'e2d3', 'g2g4', 'd2d3', 'e2d1', 'f3g5', 'e4c3', 'c2c3', 'f3g1', 'b3b4', 'b2c1', 'b2a3', 'e4c5', 'f3h4', 'e4f6', 'f3d4', 'b2d4', 'e2b5', 'e2c4']","[0.4724124461074959, 0.4659933421436654, 0.4568432147802496, 0.45319095389262815, 0.45319095389262815, 0.42508560971233006, 0.410755311431655, 0.4054188880512549, 0.3939345129435846, 0.3904236728688792, 0.3851787270047305, 0.38343625677752047, 0.3799603223030577, 0.3764966567002889, 0.37563269360828333, 0.37476952142308345, 0.37132483661091226, 0.3661823363988792, 0.36532817385496535, 0.36192003565750486, 0.3434299837156404, 0.33027105825721115, 0.3237883625149461, 0.3229826967382582, 0.30319063909252536, 0.2924118006869085, 0.2916505347851929, 0.27373565145955325, 0.25302724901334644, 0.18819434981303984, 0.17347424696948943, 0.1223982532701347, 0.09892308421915808, 0.08172578028842459, 0.07305814559620055, 0.04623546138532342]",GV9Q56
2r5/5p2/R5pk/5b1n/1PP5/2Q4P/6P1/4R1K1 w - - 1 34,"['g2g4', 'e1e7', 'e1e5', 'e1f1', 'c3d4', 'a6a5', 'c3f3', 'a6a2', 'a6f6', 'g1h2', 'a6d6', 'a6a7', 'c4c5', 'c3d2', 'c3c1', 'g1h1', 'g2g3', 'h3h4', 'e1e2', 'c3a1', 'e1e3', 'c3b3', 'b4b5', 'g1f2', 'c3e5', 'a6a4', 'e1a1', 'g1f1', 'a6a1', 'c3e3', 'a6g6', 'e1e4', 'e1d1', 'c3a3', 'a6a3', 'c3b2', 'a6b6', 'e1c1', 'a6e6', 'e1b1', 'a6c6', 'a6a8', 'e1e6', 'e1e8', 'c3f6', 'c3h8', 'c3c2', 'c3g3', 'c3g7', 'c3d3']","[0.9561399730410527, 0.9552041026722664, 0.9540881984507428, 0.9537645386146766, 0.9507523664910742, 0.9505796766021984, 0.9498831605617396, 0.9491773528596615, 0.9481009805883831, 0.9470030846724865, 0.9468179830995469, 0.9466322714581435, 0.9460714585480221, 0.9433801190586649, 0.9433801190586649, 0.9427871965039627, 0.9419875579104375, 0.9419875579104375, 0.9417860155204972, 0.9411774404221361, 0.940973259942673, 0.939942358504555, 0.9388946215797787, 0.9386830333890033, 0.9384707605506822, 0.9378298153116633, 0.9371826403057347, 0.9365291843248166, 0.9365291843248166, 0.9352032234843844, 0.933395157477204, 0.9320084773486981, 0.9305950739214279, 0.9301179275610569, 0.9281788606935651, 0.9251770618720677, 0.9246656829750429, 0.9196452624848273, 0.9154680395423619, 0.9148964080224704, 0.9134519639532505, 0.910496343170818, 0.9092888130340637, 0.8871510237600677, 0.8101122207399027, 0.6565700162843596, 0.6406270050754315, 0.6183032245766588, 0.5963550316463674, 0.5165632973121441]",5O6EO5
1r4k1/6b1/p3p1p1/1p5p/4P3/2P1BP2/PP2K1PP/3r3R w - - 0 25,"['h1d1', 'e2d1', 'h1e1', 'h1g1', 'h1f1', 'e3a7', 'e3f4', 'e3g1', 'e3h6', 'h2h4', 'e3d2', 'e3c5', 'e4e5', 'c3c4', 'e3g5', 'b2b4', 'e3b6', 'a2a3', 'f3f4', 'h2h3', 'e2f2', 'a2a4', 'e3f2', 'e3c1', 'e3d4', 'b2b3', 'g2g3', 'g2g4']","[0.8190097461263064, 0.7801662604387296, 0.1280441483889645, 0.12519393136296175, 0.12043437276310126, 0.10361398030487234, 0.10327249441731556, 0.09664924125145591, 0.07927305137721596, 0.07688776954513865, 0.07456844680878733, 0.07280918439112949, 0.072561005162597, 0.0718211393064348, 0.0715760679645217, 0.0715760679645217, 0.070362251071588, 0.0701217817312833, 0.06869485746011517, 0.06706412608595291, 0.06706412608595291, 0.06706412608595291, 0.06683411803730022, 0.0650202616394161, 0.0650202616394161, 0.06390996781621955, 0.06174219881763471, 0.059026740057327]",CHLMCB
4r1k1/5ppp/r4n2/p1pp1q2/N2Q4/1PR1PPPb/P6P/2R3KB w - - 0 30,"['a4c5', 'd4d3', 'c3c5', 'd4c5', 'd4d2', 'd4f4', 'd4d1', 'd4h4', 'g3g4', 'd4f6', 'd4g4', 'e3e4', 'h1g2', 'd4c4', 'd4e4', 'd4d5', 'c3c2', 'c1d1', 'd4e5', 'a2a3', 'a4b6', 'c3c4', 'c3d3', 'f3f4', 'c1e1', 'a4b2', 'c1a1', 'b3b4', 'd4b4', 'g1f2', 'c1f1', 'c1c2', 'c1b1']","[0.6540749558280547, 0.5713110574149894, 0.5667962794387497, 0.5649872147270768, 0.5275875538925041, 0.4724124461074959, 0.454103562397001, 0.4486327495624493, 0.10921491048911158, 0.10885720702563229, 0.10327249441731556, 0.10024370428970547, 0.09071118696593633, 0.07793966348758313, 0.07431475154930411, 0.07355842196199991, 0.06799152265130198, 0.06660484252279597, 0.06637629759533209, 0.06524446379186621, 0.06390996781621955, 0.06026583458431928, 0.05943709526487312, 0.058213984479502656, 0.057014517452192714, 0.056032737915242325, 0.05171813942909331, 0.0510005636521646, 0.049941843576952194, 0.04890396888770138, 0.047219514800256934, 0.04029993760307693, 0.0]",83XERW
8/5Kpk/5b2/6qp/8/8/8/8 b - - 1 43,"['g5b5', 'g5g3', 'g5f4', 'f6e7', 'g5g2', 'h7h6', 'g5d2', 'f6a1', 'f6c3', 'g5e5', 'g5g6', 'g5d5', 'g5c1', 'g5e3', 'g5g4', 'g5h4', 'h5h4', 'g5f5', 'g5a5', 'g5h6', 'f6d4', 'g5c5', 'g5g1', 'g7g6', 'f6b2', 'f6d8', 'f6e5', 'h7h8']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.997522706603006, 0.9931854288038968, 0.9868149348740236]",324WKB
8/2b5/1p5p/1P1kppp1/1P6/3K1P1P/5BP1/8 w - - 1 43,"['f2e3', 'g2g4', 'h3h4', 'f2g1', 'f2e1', 'g2g3', 'd3c3', 'd3e3', 'd3d2', 'd3c2', 'd3e2', 'f3f4', 'f2b6', 'f2c5', 'f2h4', 'f2d4', 'f2g3']","[0.4304934733529298, 0.4286889425850106, 0.4259857125367345, 0.41611281849809095, 0.39657487064657393, 0.37476952142308345, 0.35937299492456853, 0.31102551666780703, 0.2607587561640227, 0.2607587561640227, 0.2558210792216864, 0.19102319886093233, 0.14313515442187086, 0.14133824015919433, 0.10395646446270596, 0.10225400583383587, 0.09991208792971568]",KKDBUM
8/kn2rq2/ppQ1Npp1/8/3P4/2P2P2/PP2R3/1K6 w - - 5 44,"['b2b3', 'a2a3', 'b2b4', 'c6e4', 'c6c4', 'b1a1', 'c3c4', 'b1c1', 'd4d5', 'e2e3', 'b1c2', 'a2a4', 'e2e1', 'c6d5', 'e6f4', 'e2e4', 'f3f4', 'e6g5', 'c6a4', 'e6d8', 'c6c8', 'e2h2', 'e2c2', 'e2g2', 'e2d2', 'e6c7', 'c6b7', 'e2e5', 'e6c5', 'e6f8', 'c6c7', 'e2f2', 'c6b5', 'c6b6', 'c6d7', 'c6d6', 'e6g7', 'c6e8', 'c6c5']","[0.6515713880482262, 0.6431661450174323, 0.6346718261450347, 0.6338176636011208, 0.6269544312155905, 0.6165637432224795, 0.6025436609853058, 0.6025436609853058, 0.6025436609853058, 0.6016615267275047, 0.5981264356862743, 0.5945811119487451, 0.589244688568345, 0.5847815132358991, 0.5640820298184349, 0.5531881623684916, 0.5513672504375507, 0.29546848557860633, 0.19330957860820386, 0.1893220100493414, 0.1831837401142804, 0.15240657549097442, 0.15240657549097442, 0.1491067941104216, 0.14771073929444967, 0.14678605153511798, 0.1444952958104478, 0.14404072586099298, 0.1309495413845757, 0.12928252385851996, 0.12519393136296175, 0.12121664079671651, 0.11734875537361839, 0.10638197729176951, 0.10191649247758733, 0.10157996710955025, 0.09193336344131242, 0.09132043609196017, 0.08683957548832155]",0BLWNL
2rq1rk1/pb1nbppp/1p2pn2/3p4/P2P4/2N1PN2/1PQBBPPP/R4RK1 w - - 4 12,"['c2b3', 'f1b1', 'f1c1', 'f1d1', 'a4a5', 'h2h3', 'e2d3', 'g2g3', 'd2e1', 'a1b1', 'f1e1', 'c2d1', 'c2d3', 'c2b1', 'g1h1', 'a1c1', 'a1d1', 'e2b5', 'd2c1', 'f3g5', 'c2c1', 'a1e1', 'a1a2', 'f3e1', 'f3h4', 'b2b3', 'h2h4', 'e2d1', 'f3e5', 'b2b4', 'g2g4', 'e3e4', 'a1a3', 'e2c4', 'e2a6', 'c2h7', 'c3d5', 'c3b5', 'c2g6', 'c3e4', 'c2f5', 'c3b1', 'c3a2', 'c3d1', 'c2e4']","[0.5340066578563346, 0.5321736834106171, 0.5294226081270875, 0.5275875538925041, 0.5257517538936253, 0.5165632973121441, 0.5147240615881282, 0.5119644756166626, 0.5092041601288086, 0.5082839219143761, 0.5064432832995209, 0.5055228953683342, 0.5027615319200139, 0.5018410316799476, 0.5, 0.5, 0.49907948104001076, 0.4981589683200522, 0.4944771046316658, 0.49355671670047907, 0.4917160780856239, 0.48987566402915633, 0.48895555679024805, 0.48711557303526726, 0.4825172499538834, 0.47884068475933794, 0.4733302559691369, 0.45227865991833244, 0.4404501867400794, 0.43139643471891215, 0.3197705631318085, 0.31181509311084854, 0.2032585059804044, 0.110656053362296, 0.09826859886598244, 0.07873721253163218, 0.07793966348758313, 0.07688776954513865, 0.07355842196199991, 0.06729486861836093, 0.06174219881763471, 0.05583829947200053, 0.05411671095866716, 0.0492476335089258, 0.04058571893540408]",1PZBLC
r2qk2r/5pp1/2ppb2p/p1p1p1b1/4P3/P1NP1N2/1PPQ1PPP/2KR3R w kq - 2 13,"['f3g5', 'd2g5', 'h2h4', 'c3a4', 'g2g4', 'h1e1', 'c3b1', 'b2b3', 'h1f1', 'a3a4', 'g2g3', 'h1g1', 'd1f1', 'h2h3', 'd1e1', 'c3e2', 'd1g1', 'd2e3', 'c3a2', 'f3e1', 'f3g1', 'c1b1', 'd3d4', 'b2b4', 'f3e5', 'c3d5', 'f3h4', 'c3b5', 'f3d4', 'd2f4']","[0.48711557303526726, 0.08339914250457947, 0.08283792298901071, 0.07927305137721596, 0.07900471664273123, 0.07584890441805336, 0.07456844680878733, 0.07406185033185864, 0.07380974114070527, 0.07330789078382272, 0.07280918439112949, 0.07280918439112949, 0.072561005162597, 0.0718211393064348, 0.070362251071588, 0.06940492607857218, 0.06893079617403686, 0.06660484252279597, 0.06614848131031625, 0.06435194965051655, 0.06281735969426522, 0.061105378420221235, 0.05861904138401908, 0.057014517452192714, 0.05642352684427998, 0.04788657581462291, 0.04401469946699421, 0.04264118860088395, 0.03199659605134719, 0.031656225980229935]",L8CXOP
1b3k1r/pp1r1p2/3qpp2/P2p4/1P3PPp/2P4P/2Q3B1/R4RK1 b - - 0 23,"['d7c7', 'b7b5', 'f8g7', 'f8e7', 'd6c7', 'd6e7', 'd7e7', 'd6c6', 'b7b6', 'f8e8', 'f8g8', 'a7a6', 'd6a6', 'd7d8', 'h8h6', 'd5d4', 'h8g8', 'f6f5', 'b8c7', 'e6e5', 'd6f4', 'h8h5', 'h8h7', 'd6b4', 'd6e5', 'd6c5', 'd6b6']","[0.7203693739005184, 0.6897629617356684, 0.6778219194709055, 0.6697289417427889, 0.6631811026712696, 0.6473801693008373, 0.6473801693008373, 0.6431661450174323, 0.6406270050754315, 0.6372292155838937, 0.6338176636011208, 0.6278152022123592, 0.6209067564512851, 0.6174338599757672, 0.607822300927273, 0.5990111810176295, 0.5963550316463674, 0.591915609324709, 0.5776116974476763, 0.5358387144707508, 0.23470217892023404, 0.1626657842885849, 0.14133824015919433, 0.1085005324218955, 0.10464443579540594, 0.08860754082683975, 0.08172578028842459]",S9I2TD
r1bqk2r/ppp1ppbp/2n3p1/3p4/3PnB2/3BPN1P/PPPN1PP1/R2QK2R b KQkq - 4 7,"['c8f5', 'e4d6', 'e4d2', 'f7f5', 'e4f6', 'e7e5', 'c6b4', 'g6g5', 'c8e6', 'e8g8', 'd8d7', 'e7e6', 'c6a5', 'a7a5', 'a8b8', 'e4c5', 'c8d7', 'c6b8', 'a7a6', 'b7b6', 'h7h6', 'h7h5', 'f7f6', 'g7f6', 'g7f8', 'b7b5', 'e8f8', 'h8g8', 'e8d7', 'h8f8', 'e4f2', 'c6d4', 'c8h3', 'g7d4', 'e4g5', 'c8g4', 'e4c3', 'c6e5', 'g7h6', 'e4g3', 'g7e5', 'd8d6']","[0.43501278527292314, 0.41879910735532644, 0.415218486764101, 0.4018735643137257, 0.4009888189823705, 0.39745633901469424, 0.3343559420193419, 0.33271896373429855, 0.3181708609785677, 0.31102551666780703, 0.3102370382643316, 0.29777313012875556, 0.2970037651435491, 0.29623554941924907, 0.2924118006869085, 0.2916505347851929, 0.2878617610188755, 0.28260706642917927, 0.2774109267875924, 0.27373565145955325, 0.27009086783348246, 0.26864154452347183, 0.2679187308110218, 0.2523319525399643, 0.24956344857367774, 0.2454488673960863, 0.23075727435752347, 0.22556999001192107, 0.22428615873700553, 0.21857334169044645, 0.194460547256589, 0.15673687957968802, 0.14957455800426844, 0.1139595988024229, 0.10673252134178429, 0.10361398030487234, 0.09892308421915808, 0.09826859886598244, 0.09826859886598244, 0.0904079365368638, 0.09010559942406182, 0.07954221878235157]",O8M9ZB
3r3r/p2k1ppp/1Rqp4/8/Q2pP2P/N2P4/P4PP1/4R1K1 w - - 1 23,"['b6b7', 'a4c6', 'b6c6', 'a4a7', 'b6b5', 'b6a6', 'b6b4', 'a4d4', 'a3b5', 'a4b3', 'a4d1', 'a4b4', 'a4a5', 'a4b5', 'a4c4', 'a4a6', 'a4c2', 'e1b1', 'e4e5', 'a3c4', 'e1c1', 'b6b3', 'g2g4', 'h4h5', 'b6b1', 'b6b2', 'e1f1', 'f2f4', 'f2f3', 'a3c2', 'b6b8', 'e1a1', 'g2g3', 'a3b1', 'g1h2', 'e1e2', 'g1f1', 'g1h1', 'e1d1', 'e1e3']","[1.0, 1.0, 0.9731436130082863, 0.9526145525872541, 0.9246656829750429, 0.8960435355372941, 0.8957000510572336, 0.765297821079766, 0.7255317251331461, 0.6818291390214323, 0.6346718261450347, 0.6095763271311208, 0.5785097804984198, 0.5776116974476763, 0.46874313267512907, 0.454103562397001, 0.3704656899332343, 0.21420301444757306, 0.21358389864815974, 0.21358389864815974, 0.18651254549806995, 0.1772009855540524, 0.17189613488694255, 0.17032942052712574, 0.16877407540701395, 0.16774348040130993, 0.15918559583798003, 0.15869338408054756, 0.15820240791194307, 0.1577126660012219, 0.15673687957968802, 0.15240657549097442, 0.15193153729600622, 0.15098510766141626, 0.1444952958104478, 0.1444952958104478, 0.13736406646514476, 0.1364937770513217, 0.13263477974550358, 0.12319149084862219]",F7IFKE
r1bqkbnr/pp1p1ppp/2n1p3/8/3NPP2/8/PPP3PP/RNBQKB1R b KQkq - 0 5,"['d8b6', 'g8f6', 'f8c5', 'd7d5', 'f8b4', 'f8e7', 'g8h6', 'h7h5', 'a7a6', 'd8a5', 'd7d6', 'g8e7', 'c6d4', 'd8c7', 'e6e5', 'b7b6', 'f7f5', 'h7h6', 'd8h4', 'g7g6', 'a8b8', 'b7b5', 'd8f6', 'f8d6', 'c6a5', 'a7a5', 'c6e7', 'f7f6', 'g7g5', 'c6b8', 'c6b4', 'e8e7', 'd8e7', 'c6e5', 'f8a3', 'd8g5']","[0.5330902822991305, 0.5239152574834706, 0.5156437324214209, 0.5018410316799476, 0.4825172499538834, 0.48067870579756605, 0.477921885909709, 0.47608474251652944, 0.4705773918729125, 0.467826316589383, 0.4659933421436654, 0.4650771960458313, 0.4605001214877426, 0.45958548047804854, 0.45775702105393146, 0.4477221183422858, 0.44408315815517135, 0.4431743390334964, 0.4395429240174578, 0.4359179701815651, 0.4359179701815651, 0.4332037205612503, 0.43139643471891215, 0.4277873846879599, 0.4232868990440539, 0.41700770288330274, 0.4143247132264411, 0.41343150341573687, 0.3948139524217644, 0.3939345129435846, 0.392177699072727, 0.38867247514924735, 0.3808281678856246, 0.2671971513914837, 0.1284558117032647, 0.04189591869906967]",W681VS
8/7r/2K3k1/3P4/8/7p/7B/8 b - - 5 55,"['g6f5', 'g6f6', 'g6f7', 'h7h4', 'h7h8', 'h7h6', 'h7a7', 'g6g7', 'g6h6', 'h7h5', 'h7e7', 'g6g5', 'h7f7', 'h7g7', 'g6h5', 'h7d7', 'h7c7', 'h7b7']","[0.8656616464722748, 0.8471171687859335, 0.821182717036527, 0.7894921124308226, 0.7692427256424765, 0.7592933013923162, 0.7203693739005184, 0.5540980866051488, 0.5513672504375507, 0.5513672504375507, 0.5504562746820834, 0.5495449603745888, 0.5495449603745888, 0.5486333135073832, 0.5477213400816676, 0.08424745343669515, 0.06347081567518353, 0.06325229595848025]",OXXV38
b1r2rk1/5p1p/2pRp1p1/4P3/1N6/P4NP1/1PP1nP1P/2KR4 w - - 1 23,"['c1d2', 'c1b1']","[0.7724945149239734, 0.5658919665398462]",MT2ZM6
r1bqkb1r/3p1ppp/p1n1pn2/1p4N1/4P3/1BN5/PP3PPP/R1BQ1RK1 b kq - 1 9,"['f8c5', 'f8e7', 'c8b7', 'd7d6', 'h7h6', 'd8c7', 'f8b4', 'g7g6', 'a8a7', 'b5b4', 'd8b6', 'a8b8', 'h7h5', 'h8g8', 'c6a5', 'd8a5', 'd8e7', 'f6g8', 'e8e7', 'c6e5', 'a6a5', 'c6b4', 'd7d5', 'c6a7', 'c6e7', 'c6b8', 'f6e4', 'f6g4', 'f6h5', 'f8d6', 'f8a3', 'c6d4', 'f6d5', 'e6e5']","[0.597241050790976, 0.5963550316463674, 0.5945811119487451, 0.5874611371519987, 0.5847815132358991, 0.5820968656397246, 0.5722126153120402, 0.5321736834106171, 0.5303398401818216, 0.5275875538925041, 0.5229967635676993, 0.5174827500461167, 0.4724124461074959, 0.4659933421436654, 0.44499235158754635, 0.44408315815517135, 0.4232868990440539, 0.4179031343602754, 0.3721847977876407, 0.3576793498105364, 0.3426002061577233, 0.3359969188321382, 0.2788895198861058, 0.2671971513914837, 0.26575770228885515, 0.2621807972981455, 0.22945266703370382, 0.17506378427288877, 0.1646818444286432, 0.16066965780092213, 0.16017373139259594, 0.15918559583798003, 0.10673252134178429, 0.09224121164974286]",SEQ4GG
b2r2k1/2qrbppp/pp1pp3/4n3/2P1P3/BP2QP1P/P1NRN1P1/3R2K1 w - - 9 27,"['a3b2', 'f3f4', 'c2d4', 'e2g3', 'e2c3', 'a3b4', 'e3d4', 'g1h1', 'e3c3', 'e3f4', 'e3f2', 'g1h2', 'd1c1', 'e2d4', 'd1f1', 'c2e1', 'c2b4', 'e2c1', 'd1e1', 'c2a1', 'd1b1', 'g1f2', 'd1a1', 'g1f1', 'e2f4', 'g2g3', 'g2g4', 'h3h4', 'd2d4', 'a3c1', 'c4c5', 'd2d3', 'd2d5', 'b3b4', 'd2d6', 'a3d6', 'a3c5', 'e3d3', 'e3g5', 'e3h6', 'e3b6', 'e3c5']","[0.5248335896523929, 0.5147240615881282, 0.5082839219143761, 0.5027615319200139, 0.5027615319200139, 0.5018410316799476, 0.5, 0.5, 0.49907948104001076, 0.4981589683200522, 0.497238468079986, 0.47884068475933794, 0.4742482461063748, 0.4724124461074959, 0.4696601598181785, 0.467826316589383, 0.45958548047804854, 0.4586711116420767, 0.454103562397001, 0.4486327495624493, 0.44590191339485113, 0.44226590014833245, 0.44135784741538037, 0.4377296159574105, 0.4259857125367345, 0.42508560971233006, 0.39657487064657393, 0.38954771790854137, 0.38954771790854137, 0.38605107056395144, 0.29470257622091905, 0.22364619396018004, 0.19794461416535591, 0.13263477974550358, 0.1317898757643592, 0.1288686029157785, 0.12121664079671651, 0.07060348244255998, 0.06799152265130198, 0.058213984479502656, 0.04839273471263267, 0.04805473429758533]",HWYS8Q
