FEN,Move,Win Probability
r3r1k1/pbq2ppp/1bp5/3pn1B1/8/1N3N2/PPQ2PPP/R3R1K1 w - - 0 16,"['e1e5', 'b3c5', 'f3e5', 'b3d4', 'c2e2', 'b3d2', 'c2d1', 'a1c1', 'g5e3', 'c2f5', 'c2c3', 'a2a4', 'g5h4', 'f3d4', 'e1e2', 'a1d1', 'a2a3', 'c2d2', 'a1b1', 'g1h1', 'f3d2', 'e1c1', 'e1e3', 'e1f1', 'f3h4', 'e1d1', 'g5h6', 'e1b1', 'g5f6', 'b3a5', 'g5d2', 'g5d8', 'g5e7', 'g5f4', 'c2h7', 'h2h4', 'c2b1', 'c2c5', 'c2c1', 'e1e4', 'g5c1', 'g2g3', 'b3c1', 'c2c6', 'g1f1', 'c2d3', 'c2c4', 'h2h3', 'c2g6', 'c2e4', 'g2g4']","[0.3704656899332343, 0.32783231450251976, 0.3141903798776102, 0.2803729359815208, 0.27520211606290007, 0.27520211606290007, 0.2730042477661579, 0.26360782809954386, 0.2628936897689216, 0.2614691522497748, 0.26004961055879766, 0.24956344857367774, 0.24818682246504542, 0.2340414606810215, 0.2262138557091269, 0.22556999001192107, 0.22556999001192107, 0.2111204806304472, 0.2105078875691775, 0.2050532483330516, 0.1876324575456314, 0.18651254549806995, 0.1692912623296785, 0.1636713177029654, 0.16166523433017105, 0.148174886276199, 0.14678605153511798, 0.1463255076659773, 0.14044687122292038, 0.12479122466512271, 0.12004487506796785, 0.11507973387664883, 0.1139595988024229, 0.10957364483519622, 0.10157996710955025, 0.09794280511446124, 0.09761797455048427, 0.09473750066487285, 0.09254998565401296, 0.08683957548832155, 0.07584890441805336, 0.06869485746011517, 0.06347081567518353, 0.06325229595848025, 0.06303447793315453, 0.05244525350981433, 0.05226257471749568, 0.051179069419114764, 0.04607336098600967, 0.04575078146133588, 0.0]"
r6k/pp1PNpqp/2p5/4p3/1PB1Nn2/P5P1/5P2/3R1RK1 b - - 0 28,"['a8d8', 'g7f8', 'f4d5', 'a8f8', 'f4h3', 'h7h6', 'h7h5', 'f4e6', 'f4d3', 'f4e2', 'g7g8', 'c6c5', 'g7h6', 'a7a5', 'f4g6', 'b7b5', 'f7f5', 'a7a6', 'b7b6', 'a8g8', 'f4h5', 'g7f6', 'f7f6', 'a8b8', 'g7g6', 'g7g3', 'f4g2', 'g7g4', 'g7g5', 'a8c8', 'a8e8']","[0.1991163680760002, 0.1317898757643592, 0.1135883369859218, 0.10814488465274963, 0.09410781540650409, 0.07610740636397961, 0.07431475154930411, 0.058213984479502656, 0.057014517452192714, 0.05374098905684277, 0.053182016900453044, 0.05171813942909331, 0.04873299080067217, 0.04738544741274592, 0.04607336098600967, 0.045911801549257114, 0.04401469946699421, 0.043705873137683204, 0.0410180326643938, 0.03876229404260456, 0.03808212155884061, 0.03808212155884061, 0.03484980600680582, 0.0332751449493317, 0.032340503581300584, 0.02854168693459075, 0.026003749370407614, 0.023431879517577803, 0.018806743819712646, 0.0, 0.0]"
r2qr1k1/ppp3bp/1n2bppn/4p3/2P1P3/1QN2N1P/PP1BBPP1/R4RK1 w - - 1 15,"['a2a4', 'f1d1', 'd2e3', 'f1c1', 'f1b1', 'a1d1', 'b3b4', 'c3b1', 'g2g4', 'h3h4', 'g1h2', 'c3d5', 'f1e1', 'c3b5', 'd2c1', 'a1c1', 'g1h1', 'c3d1', 'a1b1', 'd2h6', 'c3a4', 'g2g3', 'b3b5', 'a1e1', 'f3h2', 'a2a3', 'f3e1', 'd2e1', 'b3c2', 'f3h4', 'b3a3', 'b3d1', 'e2d1', 'f3e5', 'd2g5', 'f3g5', 'c4c5', 'd2f4', 'e2d3', 'f3d4', 'b3b6', 'b3a4']","[0.6104522820914586, 0.5847815132358991, 0.5820968656397246, 0.5631764176433595, 0.5477213400816676, 0.5440703011199586, 0.5413288883579234, 0.5404145195219514, 0.5358387144707508, 0.5330902822991305, 0.5330902822991305, 0.5321736834106171, 0.5294226081270875, 0.5266697440308632, 0.5257517538936253, 0.5239152574834706, 0.522078114090291, 0.5184020844121936, 0.5156437324214209, 0.511044443209752, 0.5082839219143761, 0.5082839219143761, 0.5055228953683342, 0.5036820134406647, 0.5, 0.5, 0.5, 0.48711557303526726, 0.4852759384118717, 0.43139643471891215, 0.41700770288330274, 0.392177699072727, 0.29393782392203827, 0.27227406568891394, 0.24613144130277942, 0.22300753025901537, 0.1927360397463046, 0.18875753377152027, 0.1636713177029654, 0.1347671251678204, 0.10921491048911158, 0.08255860336706944]"
r4rk1/ppp3p1/5p1p/4p3/4P3/1P1P3P/1qP2QP1/R4RK1 w - - 0 18,"['f2c5', 'a1a7', 'a1a4', 'g1h2', 'f1b1', 'a1a5', 'g1h1', 'a1b1', 'f1e1', 'f1c1', 'f2d2', 'h3h4', 'f1d1', 'g2g4', 'g2g3', 'b3b4', 'f2e2', 'f2e3', 'a1c1', 'a1d1', 'a1e1', 'f2f5', 'f2f3', 'c2c3', 'f2g3', 'f2e1', 'c2c4', 'd3d4', 'f2h4', 'a1a6', 'a1a2', 'f2a7', 'a1a3', 'f2d4', 'f2b6', 'f2f6', 'f2f4']","[0.46141502858974687, 0.4486327495624493, 0.4477221183422858, 0.4395429240174578, 0.43501278527292314, 0.43139643471891215, 0.42508560971233006, 0.410755311431655, 0.410755311431655, 0.4089741028083871, 0.4063067778943678, 0.4018735643137257, 0.4009888189823705, 0.39569407338298884, 0.3904236728688792, 0.38343625677752047, 0.3773614059219311, 0.37390714490240246, 0.36532817385496535, 0.3636223933562701, 0.354302733312082, 0.316575437139995, 0.29777313012875556, 0.28861716692764805, 0.28861716692764805, 0.2878617610188755, 0.2759371730995885, 0.2679187308110218, 0.2407066986076838, 0.10814488465274963, 0.1049899270693318, 0.10395646446270596, 0.09101535279101453, 0.08311810201340841, 0.08062725610318067, 0.08008305980061614, 0.07507822752621851]"
r4rk1/p1p2p2/1p1p4/2n4p/5n2/1P4q1/P1P2Q2/4R1K1 w - - 0 30,"['f2g3', 'g1f1', 'g1h1', 'f2g2']","[0.11545523538360414, 0.02309720904364143, 0.009782511826295692, 0.0]"
5rk1/p5n1/2p5/2Pp4/3Pp1bq/P3P1N1/3n1PQ1/R5K1 b - - 1 33,"['d2f3', 'g4h3', 'f8f6', 'g7e6', 'g4c8', 'g8h7', 'g8f7', 'g8h8', 'g4e6', 'f8b8', 'f8d8', 'f8f7', 'g4d7', 'a7a5', 'g4f5', 'a7a6', 'f8e8', 'h4h6', 'h4h7', 'g7e8', 'f8a8', 'f8c8', 'h4f6', 'g7f5', 'h4g5', 'g4f3', 'h4h8', 'd2b3', 'g4h5', 'd2c4', 'h4e7', 'h4d8', 'g7h5', 'f8f5', 'h4h3', 'f8f4', 'f8f3', 'g4e2', 'g4d1', 'd2b1', 'd2f1', 'f8f2', 'h4h5', 'h4g3', 'h4h2', 'h4h1']","[0.9739962506295924, 0.9540881984507428, 0.9519452657024147, 0.9498831605617396, 0.9497075839757998, 0.9486418338426437, 0.9482818605709066, 0.9479195027365241, 0.9451244044725028, 0.944741213373952, 0.9437721868953504, 0.9435764731557199, 0.9429854825478073, 0.939942358504555, 0.939942358504555, 0.9395252970481944, 0.9386830333890033, 0.9382578011823652, 0.9365291843248166, 0.9358693959358768, 0.9354259935060585, 0.9336237024046679, 0.9336237024046679, 0.9317747773358329, 0.9301179275610569, 0.9269418544037995, 0.9251770618720677, 0.9238925936360204, 0.9233731631034335, 0.9231122304548612, 0.9228504835073755, 0.9209952833572687, 0.9201877790931953, 0.918825175883201, 0.9137426170872673, 0.9116893600511021, 0.9071403124659402, 0.8682101242356407, 0.8573158502866657, 0.853213948464882, 0.8403209554949015, 0.8368320725562275, 0.6705428791057813, 0.6226385940780689, 0.6113275248507526, 0.3401166567266681]"
B7/3nkp2/1q2p2p/p5p1/P7/5Q2/1Pr2PPP/3RR1K1 b - - 1 21,"['d7c5', 'b6c7', 'd7f6', 'c2c7', 'd7b8', 'b6b4', 'd7f8', 'b6a7', 'c2c4', 'f7f5', 'b6b2', 'b6d8', 'c2f2', 'b6c5', 'e7f8', 'e7e8', 'c2d2', 'd7e5', 'h6h5', 'b6f2', 'e6e5', 'f7f6', 'g5g4', 'e7d8', 'c2e2', 'c2c5', 'b6a6', 'c2c3', 'b6d6', 'c2c6', 'b6b3', 'b6d4', 'b6b5', 'c2c1', 'b6e3', 'b6c6', 'b6b7', 'c2b2', 'b6b8', 'c2c8']","[0.1139595988024229, 0.10814488465274963, 0.10225400583383587, 0.09892308421915808, 0.09505375590046167, 0.09410781540650409, 0.08654803604674943, 0.08255860336706944, 0.08172578028842459, 0.08172578028842459, 0.08144987765416223, 0.08144987765416223, 0.08062725610318067, 0.07900471664273123, 0.07714951649262453, 0.07533431702495696, 0.070362251071588, 0.06799152265130198, 0.06546938490211807, 0.0647967765156155, 0.06347081567518353, 0.06260093933963423, 0.05985012182014682, 0.05943709526487312, 0.055258786626047995, 0.052812422070430465, 0.047054134543335346, 0.04234157258354487, 0.04015777081918681, 0.03931481138928117, 0.032340503581300584, 0.028439770721348623, 0.027736185643187417, 0.0262849933135485, 0.021804596776509977, 0.015694006651994052, 0.007466738456748223, 0.0072781283605940494, 0.0016415011345213837, 0.0]"
r2q1rk1/pbpn1pp1/1p2pP1p/6B1/1b1P4/2NB1N2/PP2QPPP/R3K2R b KQ - 0 11,"['h6g5', 'b4c3', 'b7f3', 'f8e8', 'd7f6', 'c7c5', 'd7c5', 'd8c8', 'd8b8', 'e6e5', 'g7g6', 'g7f6', 'b4a5', 'a7a6', 'd8e8', 'd7e5', 'b4d6', 'a7a5', 'b4a3', 'b4c5', 'b6b5', 'b7c6', 'b7d5', 'a8c8', 'c7c6', 'a8b8', 'b7a6', 'd7b8', 'b7c8', 'd8f6', 'h6h5', 'b7e4', 'g8h8', 'b4e7', 'd8e7']","[0.4696601598181785, 0.4214902195015801, 0.4009888189823705, 0.24138030361930346, 0.2050532483330516, 0.15673687957968802, 0.15625083235725656, 0.148174886276199, 0.14724779489464035, 0.1400029530333191, 0.1364937770513217, 0.13391073492623923, 0.12438962914872875, 0.12043437276310126, 0.11284897623993229, 0.11174781242532256, 0.11138285043817636, 0.11101893141984764, 0.110656053362296, 0.10673252134178429, 0.10361398030487234, 0.10024370428970547, 0.09958144717646433, 0.09958144717646433, 0.09729410510118269, 0.09568910197471286, 0.08920404718859543, 0.08481733928130131, 0.07533431702495696, 0.0723136059066038, 0.07084547782912387, 0.049941843576952194, 0.03636691402549663, 0.03315690346620226, 0.024729552226185725]"
r2q2k1/2nb2pp/p1p1p1p1/1pPpPrB1/PP6/2P2N2/4QPPP/RR4K1 b - - 2 18,"['f5g5', 'd8e8', 'd8c8', 'd8f8', 'd8b8', 'd8g5', 'f5f6', 'b5a4', 'f5f3', 'f5f4', 'f5f8', 'f5f7', 'a8c8', 'h7h6', 'd5d4', 'a8b8', 'd7e8', 'f5e5', 'd8f6', 'c7e8', 'g8f7', 'h7h5', 'a6a5', 'g8f8', 'g8h8', 'a8a7', 'd8e7', 'd7c8']","[0.716645830340413, 0.3869241464463639, 0.3576793498105364, 0.354302733312082, 0.31181509311084854, 0.18208442933129432, 0.12928252385851996, 0.11284897623993229, 0.09892308421915808, 0.09892308421915808, 0.08950365682918204, 0.08539072061698, 0.08481733928130131, 0.08255860336706944, 0.07981222090680473, 0.07847053699808193, 0.0776754614263434, 0.07533431702495696, 0.072561005162597, 0.06893079617403686, 0.06729486861836093, 0.0659213917256884, 0.06546938490211807, 0.0650202616394161, 0.06413060406412313, 0.06303447793315453, 0.06195584660125636, 0.04527094120530434]"
r1bq1rk1/pp1pbpp1/2n1pn1p/6B1/3NPP2/2N5/PPPQ2PP/R3KB1R w KQ - 0 9,"['g5f6', 'd4c6', 'h2h4', 'g5h4', 'g5h6', 'e4e5', 'd4f5', 'e1c1', 'g2g3', 'f1e2', 'd4f3', 'f1d3', 'g2g4', 'c3b5', 'a2a3', 'f4f5', 'd2d1', 'f1b5', 'a1d1', 'f1c4', 'd2d3', 'h1g1', 'h2h3', 'd4b3', 'd2e3', 'a2a4', 'd2f2', 'd4e6', 'b2b3', 'f1a6', 'd4b5', 'e1d1', 'd2e2', 'a1b1', 'd4e2', 'a1c1', 'c3d5', 'b2b4', 'c3e2', 'c3a4', 'e1f2', 'd2c1', 'e1e2', 'c3d1', 'c3b1']","[0.5046024700028845, 0.4917160780856239, 0.4852759384118717, 0.4341080334601539, 0.31339752781910246, 0.30787822162318473, 0.22945266703370382, 0.22428615873700553, 0.2154451591425247, 0.21234958051732766, 0.20989659908230773, 0.18988777926009714, 0.1893220100493414, 0.18651254549806995, 0.18595452438873583, 0.18539779231227405, 0.1809902538736936, 0.17827723949223973, 0.1772009855540524, 0.17242090445576874, 0.1708503939715894, 0.16877407540701395, 0.16774348040130993, 0.1672300700782952, 0.16671791636261035, 0.16620701810552085, 0.16417595629270143, 0.15918559583798003, 0.15918559583798003, 0.15673687957968802, 0.15576601396962686, 0.14724779489464035, 0.14540801215840354, 0.14044687122292038, 0.1351970515980852, 0.13433835352772516, 0.13391073492623923, 0.13348426760561977, 0.13263477974550358, 0.1301137622360911, 0.1276336111356119, 0.12559775111922367, 0.12200328516817582, 0.12200328516817582, 0.11211381938667214]"
4kb1r/pr1n1ppp/4pn2/3p4/3P1B2/1PP5/P2N1PPP/R3K1NR b KQk - 0 12,"['f8a3', 'a7a5', 'h7h6', 'f6h5', 'd7b8', 'f8e7', 'g7g6', 'a7a6', 'd7b6', 'h7h5', 'h8g8', 'b7b6', 'e8d8', 'e8e7', 'f6g8', 'b7b5', 'f6g4', 'f6e4', 'g7g5', 'e6e5', 'b7b8', 'f8c5', 'd7c5', 'f8b4', 'd7e5', 'b7b4', 'b7c7', 'f8d6', 'b7b3']","[0.41253886284800134, 0.4063067778943678, 0.40010471851325186, 0.3948139524217644, 0.39130033495471916, 0.39130033495471916, 0.3799603223030577, 0.37909324354871493, 0.3773614059219311, 0.37476952142308345, 0.37390714490240246, 0.3730455687844096, 0.36447485800156987, 0.36107015153620403, 0.3585257312416039, 0.3585257312416039, 0.35598925108778084, 0.3359969188321382, 0.30631122259226473, 0.2730042477661579, 0.1698097103394629, 0.14678605153511798, 0.14044687122292038, 0.13562813456382855, 0.11811367252912824, 0.11211381938667214, 0.09101535279101453, 0.08860754082683975, 0.07456844680878733]"
2bq1rk1/2pppp1p/6p1/r7/1n2P3/P2P1N2/4BPPP/b2Q1K1R w - - 0 14,"['a3b4', 'd1a1', 'd3d4', 'e4e5', 'h2h4', 'g2g4', 'd1c1', 'g2g3', 'd1d2', 'h2h3', 'd1e1', 'f1g1', 'd1b1', 'f3g5', 'f3d2', 'f3e1', 'a3a4', 'f3h4', 'd1b3', 'h1g1', 'f3g1', 'f3e5', 'f1e1', 'f3d4', 'd1a4', 'd1c2']","[0.11138285043817636, 0.09254998565401296, 0.08801463783567065, 0.08035473751517275, 0.07820468799769881, 0.07714951649262453, 0.07714951649262453, 0.07610740636397961, 0.070362251071588, 0.070362251071588, 0.06706412608595291, 0.06683411803730022, 0.06546938490211807, 0.06217018468833663, 0.05861904138401908, 0.0572128034960373, 0.056619880941334966, 0.056032737915242325, 0.0518990194116169, 0.05135816615735628, 0.0492476335089258, 0.04873299080067217, 0.04189591869906967, 0.04087344053423547, 0.015980955484104553, 0.00971143349283149]"
2Q5/2p1q3/p5k1/1p1P4/1P3P2/P3P1p1/1B4P1/2R3K1 w - - 0 38,"['c1c6', 'b2e5', 'b2d4', 'c8g8', 'g1f1', 'e3e4', 'c8g4', 'd5d6', 'c8a6', 'f4f5', 'c8c7', 'c1e1', 'c8e6', 'g1h1', 'c1c3', 'a3a4', 'c8b8', 'c8h8', 'c8h3', 'c1d1', 'c8a8', 'c1a1', 'c1b1', 'c1f1', 'c8b7', 'c1c2', 'c8f8', 'c8e8', 'c8d7', 'c8d8', 'c8f5', 'b2a1', 'b2f6', 'b2g7', 'b2c3', 'c1c7', 'b2h8', 'c1c4', 'c1c5']","[0.9819262713969259, 0.97819540322349, 0.9777992484582009, 0.9763990149709252, 0.9749127326137823, 0.9715602292786515, 0.9694532252486708, 0.966960932211693, 0.9643994222304023, 0.9597000623969232, 0.9588368856548497, 0.9582516333341273, 0.9575088717717148, 0.9548879375551829, 0.9547290587946957, 0.9439672620847577, 0.9411774404221361, 0.9373990606603658, 0.9352032234843844, 0.9336237024046679, 0.933395157477204, 0.92939651755744, 0.9241510955819465, 0.922060336512417, 0.9101958264520412, 0.8860404011975771, 0.5229967635676993, 0.47608474251652944, 0.4468118376315084, 0.4241860033205554, 0.21420301444757306, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
r1b1qrk1/1p2b1pp/4pn2/p2p4/2PP1p2/1P3PP1/PBQN2BP/4RRK1 b - - 1 16,"['f4g3', 'c8d7', 'a5a4', 'h7h6', 'e8f7', 'e8h5', 'e8d8', 'g8h8', 'd5c4', 'b7b6', 'e8c6', 'b7b5', 'a8a7', 'a8a6', 'e8g6', 'e7b4', 'e8d7', 'f8f7', 'a8b8', 'h7h5', 'e7d6', 'g7g5', 'g7g6', 'e7d8', 'f6h5', 'g8f7', 'e6e5', 'f6d7', 'f6g4', 'f6e4', 'e7c5', 'e7a3', 'e8b5', 'e8a4']","[0.613075853553636, 0.5649872147270768, 0.5586421525846197, 0.5504562746820834, 0.5495449603745888, 0.5431567852197504, 0.5431567852197504, 0.5413288883579234, 0.5376698043044984, 0.5349228039541688, 0.5340066578563346, 0.531256867324871, 0.5303398401818216, 0.5285051773118131, 0.5239152574834706, 0.522078114090291, 0.5156437324214209, 0.5147240615881282, 0.5138042910293155, 0.5138042910293155, 0.5036820134406647, 0.49907948104001076, 0.49355671670047907, 0.4926363724400336, 0.48987566402915633, 0.48711557303526726, 0.41611281849809095, 0.38867247514924735, 0.15383900101915987, 0.14268414971333432, 0.12722419810075325, 0.12358976412903044, 0.09132043609196017, 0.08283792298901071]"
r3rnk1/1ppq1ppp/p2b4/4N1B1/P2Pp1b1/2P5/1PQ1BPPP/R3R1K1 b - - 1 15,"['d6e5', 'd7f5', 'e8e5', 'g4e2', 'd7e6', 'd7c8', 'f8e6', 'e4e3', 'g4f5', 'h7h6', 'f7f5', 'd7d8', 'g4e6', 'e8e6', 'c7c5', 'd7c6', 'g4f3', 'f7f6', 'b7b5', 'h7h5', 'f8g6', 'c7c6', 'a8b8', 'g8h8', 'a6a5', 'e8b8', 'a8d8', 'g7g6', 'a8a7', 'g4h3', 'd6e7', 'b7b6', 'e8c8', 'g4h5', 'd7a4', 'e8e7', 'a8c8', 'd7e7', 'e8d8', 'd6a3', 'd6b4', 'd7b5', 'd6c5']","[0.5803043837193158, 0.3467586268993149, 0.23470217892023404, 0.21731815726726345, 0.16671791636261035, 0.13780095806432646, 0.11545523538360414, 0.11321813012886112, 0.10024370428970547, 0.09892308421915808, 0.09379438122652484, 0.09254998565401296, 0.09162643894872474, 0.08950365682918204, 0.08860754082683975, 0.08860754082683975, 0.08771953240973313, 0.08742532159410737, 0.08742532159410737, 0.08742532159410737, 0.08683957548832155, 0.08683957548832155, 0.08539072061698, 0.08453196045763806, 0.08396381614947102, 0.08200253407846159, 0.08035473751517275, 0.07981222090680473, 0.07981222090680473, 0.07820468799769881, 0.07714951649262453, 0.07507822752621851, 0.07406185033185864, 0.07355842196199991, 0.07060348244255998, 0.0701217817312833, 0.06729486861836093, 0.06614848131031625, 0.06369003899095488, 0.06369003899095488, 0.05861904138401908, 0.053182016900453044, 0.0510005636521646]"
8/p5pk/2N4p/7Q/3P4/8/PP4PP/6K1 b - - 0 35,"['g7g6', 'a7a5', 'a7a6', 'g7g5', 'h7g8', 'h7h8']","[0.01781419097317538, 0.0, 0.0, 0.0, 0.0, 0.0]"
rnbqk2r/ppp1ppbp/5np1/3p4/3P1B2/2N1PN2/PPP2PPP/R2QKB1R b KQkq - 0 5,"['e8g8', 'f6h5', 'c7c6', 'c8g4', 'a7a6', 'c7c5', 'b7b6', 'c8f5', 'a7a5', 'h7h6', 'c8e6', 'c8d7', 'e7e6', 'h7h5', 'g7f8', 'f6g4', 'd8d7', 'f6g8', 'b8c6', 'f6e4', 'h8g8', 'b8a6', 'e8f8', 'e8d7', 'h8f8', 'b7b5', 'b8d7', 'g6g5', 'e7e5', 'f6d7', 'c8h3', 'g7h6', 'd8d6']","[0.5036820134406647, 0.48803552438333736, 0.47700323643230064, 0.47516641034760715, 0.4733302559691369, 0.4696601598181785, 0.46874313267512907, 0.46874313267512907, 0.4669097177008696, 0.4669097177008696, 0.4623301956955016, 0.45319095389262815, 0.4504550396254112, 0.4477221183422858, 0.44226590014833245, 0.4368235823566406, 0.4295909740554304, 0.4268863060981179, 0.4196956162806843, 0.41700770288330274, 0.4098644115408538, 0.40808439067529095, 0.39922126818820586, 0.39922126818820586, 0.39305576011188204, 0.32702145260719145, 0.3141903798776102, 0.30319063909252536, 0.2586350767502906, 0.23869359706743176, 0.1309495413845757, 0.09101535279101453, 0.07330789078382272]"
r6k/1pq1bQpp/p1p2n2/8/1B1PpPb1/6P1/PP2P2P/R2R2K1 b - - 4 19,"['e7d6', 'c7c8', 'a8e8', 'f6d5', 'f6g8', 'e7d8', 'c6c5', 'g4e2', 'c7b6', 'c7b8', 'a8g8', 'a8d8', 'c7d8', 'c7d7', 'h7h5', 'a6a5', 'g4h5', 'a8b8', 'a8c8', 'h7h6', 'e4e3', 'f6e8', 'b7b6', 'g4d7', 'g4h3', 'f6h5', 'g4f5', 'f6d7', 'b7b5', 'a8a7', 'g4e6', 'a8f8', 'g4c8', 'g4f3', 'c7a5', 'c7f4', 'c7d6', 'e7b4', 'g7g6', 'e7f8', 'g7g5', 'e7c5', 'c7e5']","[0.8184632999158717, 0.8008836319239997, 0.7857969855524269, 0.7672760967619577, 0.7666179647685237, 0.7306344092139007, 0.6921217783768152, 0.5767131009559461, 0.5531881623684916, 0.519321294202434, 0.4852759384118717, 0.4733302559691369, 0.44226590014833245, 0.4214902195015801, 0.41343150341573687, 0.39305576011188204, 0.39130033495471916, 0.38954771790854137, 0.38954771790854137, 0.38954771790854137, 0.38430712075371815, 0.3602211364871788, 0.3517797456776559, 0.3343559420193419, 0.3335369512006218, 0.33190198331248677, 0.33190198331248677, 0.32864420511660863, 0.31737261263958383, 0.30787822162318473, 0.3070941655927887, 0.29623554941924907, 0.2607587561640227, 0.2400343786012863, 0.15098510766141626, 0.14724779489464035, 0.14495105737956576, 0.14404072586099298, 0.13053108330810298, 0.1280441483889645, 0.11811367252912824, 0.11248087332490314, 0.10225400583383587]"
r3q1k1/ppp3p1/3pn3/4p2b/2P1Pp2/1P5P/P2NQPP1/R4RK1 w - - 13 24,"['f2f3', 'e2d3', 'g2g4', 'e2e1', 'd2f3', 'e2g4', 'f1e1', 'e2f3', 'e2d1', 'e2h5', 'a1e1', 'e2e3', 'f1d1', 'b3b4', 'h3h4', 'd2b1', 'a1b1', 'c4c5', 'a1d1', 'a2a4', 'a1c1', 'f1c1', 'f1b1', 'g1h2', 'a2a3', 'g1h1', 'g2g3']","[0.603425129353426, 0.5901355884591462, 0.48619570897068454, 0.4605001214877426, 0.3678931833857318, 0.09664924125145591, 0.09379438122652484, 0.09348188324070156, 0.09317031936972209, 0.09193336344131242, 0.08311810201340841, 0.06729486861836093, 0.06706412608595291, 0.06637629759533209, 0.06569502690193751, 0.06546938490211807, 0.06260093933963423, 0.06026583458431928, 0.06005764149544496, 0.05943709526487312, 0.05943709526487312, 0.059026740057327, 0.057411737157371245, 0.05622781310464969, 0.05545132562355948, 0.0510005636521646, 0.04942032339780161]"
r1bq1rk1/bpp2ppp/p1n2n2/P3p3/1PNpP3/2PP1P2/3B2PP/R2QKBNR w KQ - 5 12,"['c3d4', 'g1e2', 'd1c2', 'd1c1', 'a1b1', 'f1e2', 'g2g3', 'a1c1', 'd1b1', 'd1b3', 'h2h4', 'c4a3', 'd1a4', 'a1a3', 'a1a2', 'a1a4', 'c4b2', 'd2g5', 'e1e2', 'd2c1', 'd1e2', 'e1f2', 'f3f4', 'c4e5', 'g1h3', 'h2h3', 'g2g4', 'c4e3', 'b4b5', 'd2e3', 'd2h6', 'c4b6', 'd2f4', 'c4d6']","[0.34926500611173045, 0.32702145260719145, 0.32137451728153066, 0.32057201036650806, 0.3141903798776102, 0.31102551666780703, 0.3102370382643316, 0.3055293955493827, 0.30396910093037527, 0.299315297273592, 0.29470257622091905, 0.2901315068241716, 0.28861716692764805, 0.28335416965958693, 0.27373565145955325, 0.26647680798493956, 0.2593417169297452, 0.25652269131137545, 0.2488744990616516, 0.2427313650702102, 0.2407066986076838, 0.2074644899708633, 0.19619673470860033, 0.194460547256589, 0.18875753377152027, 0.17137263173985912, 0.14089196637896895, 0.10708408206807812, 0.10673252134178429, 0.10157996710955025, 0.09664924125145591, 0.09632824270174412, 0.0718211393064348, 0.06752634758661236]"
r2q1rk1/pRp3pp/2n1pp2/3p4/3P1B2/P1PBPN2/2P2KPP/7R b - - 0 13,"['e6e5', 'a8b8', 'a7a6', 'g8h8', 'c6a5', 'f8f7', 'a8c8', 'g7g5', 'h7h5', 'g7g6', 'h7h6', 'a7a5', 'f8e8', 'd8e8', 'c6e7', 'c6b8', 'f6f5', 'd8c8', 'd8e7', 'd8d7', 'g8f7', 'c6e5', 'c6d4', 'c6b4', 'd8b8', 'd8d6']","[0.8527522051053598, 0.7943458971515726, 0.7876504194826723, 0.7851765653568404, 0.7807971109470668, 0.7807971109470668, 0.778265892525293, 0.7731409791199124, 0.7679329346529504, 0.7626420342626421, 0.7606366555288884, 0.7552324281876817, 0.7413649232497094, 0.736392171900456, 0.70145635827134, 0.700684702726408, 0.6252304785769166, 0.6156928792462818, 0.6025436609853058, 0.5776116974476763, 0.5550076484124536, 0.5257517538936253, 0.44499235158754635, 0.36703734109527436, 0.19045484200262652, 0.13780095806432646]"
rnb1kbnr/ppp1pppp/8/3qN2Q/4p3/8/PPPP1PPP/RNB1KB1R b KQkq - 3 4,"['b8d7', 'g8f6', 'b8c6', 'g7g6', 'g8h6', 'g7g5', 'c8f5', 'e4e3', 'c8e6', 'd5e6', 'b8a6', 'c7c6', 'c7c5', 'c8d7', 'a7a6', 'c8g4', 'b7b6', 'h7h6', 'b7b5', 'a7a5', 'c8h3', 'd5e5', 'e8d8', 'd5d7', 'd5a2', 'd5d2', 'd5c6', 'd5b3', 'd5c4', 'd5b5', 'e7e6', 'd5c5', 'd5d3', 'd5d8', 'd5d6', 'd5d4', 'd5a5']","[0.7385308477502253, 0.6278152022123592, 0.5829922971166973, 0.5595498132599205, 0.4669097177008696, 0.35937299492456853, 0.33517593247566096, 0.316575437139995, 0.2475004199080585, 0.23141152218477828, 0.22109934903954387, 0.20088375754720622, 0.1915928504041009, 0.1809902538736936, 0.18044508988832997, 0.17400282193912264, 0.16116682502020485, 0.15098510766141626, 0.14495105737956576, 0.1313691382702844, 0.1085005324218955, 0.10361398030487234, 0.08368104652783925, 0.07431475154930411, 0.048223453377403025, 0.045430352894413106, 0.0447958973277337, 0.03280460868830959, 0.02676032285058416, 0.01867133305688612, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
